essays: 1246 	 	 epochs: 200 	 	  Dropout: no 	 	 k-fold: no 	 	 batch size: 128    dense: 128      layers:1
Kernel length  	 	 kernels 	 	 min train loss 	 	 top train acc 	 	 min val loss 	 	 top val acc 	 	 top train kappa 	 	 top val kappa 	 	 epoch at top val kappa 
1 	 	 	 	 	 	 1 	 	 	 	 	 1.56 	 	 	 	  0.41 	 	 	 	 1.82 	 	 	 	  0.38 	 	 	 	  0.266 	 	 	 	 	  0.168 	 	 	 	  200 
1 	 	 	 	 	 	 2 	 	 	 	 	 1.17 	 	 	 	  0.58 	 	 	 	 1.64 	 	 	 	  0.41 	 	 	 	  0.696 	 	 	 	 	  0.278 	 	 	 	  110 
1 	 	 	 	 	 	 3 	 	 	 	 	 1.06 	 	 	 	  0.59 	 	 	 	 1.74 	 	 	 	  0.39 	 	 	 	  0.712 	 	 	 	 	  0.483 	 	 	 	  200 
1 	 	 	 	 	 	 5 	 	 	 	 	 0.55 	 	 	 	  0.82 	 	 	 	 1.70 	 	 	 	  0.39 	 	 	 	  0.894 	 	 	 	 	  0.469 	 	 	 	  160 
1 	 	 	 	 	 	 10 	 	 	  	 0.00 	 	 	 	  1.00 	 	 	 	 1.56 	 	 	 	  0.45 	 	 	 	  1.000 	 	 	 	 	  0.452 	 	 	 	  130 
1 	 	 	 	 	 	 20 	 	 	  	 0.00 	 	 	 	  1.00 	 	 	 	 1.61 	 	 	 	  0.44 	 	 	 	  1.000 	 	 	 	 	  0.484 	 	 	 	  130 
1 	 	 	 	 	 	 50 	 	 	  	 0.00 	 	 	 	  1.00 	 	 	 	 1.69 	 	 	 	  0.41 	 	 	 	  1.000 	 	 	 	 	  0.452 	 	 	 	  60 
1 	 	 	 	 	 	 100 	 	 	  	 0.00 	 	 	 	  1.00 	 	 	 	 1.73 	 	 	 	  0.41 	 	 	 	  1.000 	 	 	 	 	  0.483 	 	 	 	  30 
Kernel length  	 	 kernels 	 	 min train loss 	 	 top train acc 	 	 min val loss 	 	 top val acc 	 	 top train kappa 	 	 top val kappa 	 	 epoch at top val kappa 
2 	 	 	 	 	 	 1 	 	 	 	 	 1.09 	 	 	 	  0.54 	 	 	 	 1.68 	 	 	 	  0.44 	 	 	 	  0.703 	 	 	 	 	  0.251 	 	 	 	  190 
2 	 	 	 	 	 	 2 	 	 	 	 	 0.57 	 	 	 	  0.82 	 	 	 	 1.71 	 	 	 	  0.36 	 	 	 	  0.766 	 	 	 	 	  0.148 	 	 	 	  160 
2 	 	 	 	 	 	 3 	 	 	 	 	 0.18 	 	 	 	  0.96 	 	 	 	 1.68 	 	 	 	  0.40 	 	 	 	  0.969 	 	 	 	 	  0.272 	 	 	 	  70 
2 	 	 	 	 	 	 5 	 	 	 	 	 0.01 	 	 	 	  1.00 	 	 	 	 1.68 	 	 	 	  0.38 	 	 	 	  0.999 	 	 	 	 	  0.410 	 	 	 	  80 
2 	 	 	 	 	 	 10 	 	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.70 	 	 	 	  0.41 	 	 	 	  1.000 	 	 	 	 	  0.412 	 	 	 	  160 
2 	 	 	 	 	 	 20 	 	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.67 	 	 	 	  0.41 	 	 	 	  1.000 	 	 	 	 	  0.496 	 	 	 	  190 
2 	 	 	 	 	 	 50 	 	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.66 	 	 	 	  0.39 	 	 	 	  1.000 	 	 	 	 	  0.454 	 	 	 	  30 
2 	 	 	 	 	 	 100 	 	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.71 	 	 	 	  0.40 	 	 	 	  1.000 	 	 	 	 	  0.472 	 	 	 	  30 
Kernel length  	 	 kernels 	 	 min train loss 	 	 top train acc 	 	 min val loss 	 	 top val acc 	 	 top train kappa 	 	 top val kappa 	 	 epoch at top val kappa 
3 	 	 	 	 	 	 1 	 	 	 	 	 0.94 	 	 	 	  0.66 	 	 	 	 1.75 	 	 	 	  0.39 	 	 	 	  0.626 	 	 	 	 	  0.264 	 	 	 	  190 
