essays: 1246 	 	 epochs: 200 	 	  Dropout: no 	 	 k-fold: no 	 	 batch size: 128     layers: 1   dense: 1
 
 Kernel length  	 	 kernels 	 	 min train loss 	 	 top train acc 	 	 min val loss 	 	 top val acc 	 	 top train kappa 	 	 top val kappa 	 	 epoch at top val kappa 
1 	 	 	 	 	 	 1 	 	 	 	 	 1.60 	 	 	 	  0.39 	 	 	 	 1.70 	 	 	 	  0.39 	 	 	 	  0.000 	 	 	 	 	  0.000 	 	 	 	  10 
1 	 	 	 	 	 	 2 	 	 	 	 	 1.46 	 	 	 	  0.38 	 	 	 	 1.79 	 	 	 	  0.40 	 	 	 	  0.199 	 	 	 	 	  0.007 	 	 	 	  50 
1 	 	 	 	 	 	 3 	 	 	 	 	 1.40 	 	 	 	  0.44 	 	 	 	 1.82 	 	 	 	  0.41 	 	 	 	  0.049 	 	 	 	 	  0.003 	 	 	 	  40 
1 	 	 	 	 	 	 5 	 	 	 	 	 1.35 	 	 	 	  0.55 	 	 	 	 1.83 	 	 	 	  0.35 	 	 	 	  0.342 	 	 	 	 	  0.276 	 	 	 	  50 
1 	 	 	 	 	 	 10 	 	 	 	 1.28 	 	 	 	  0.57 	 	 	 	 1.87 	 	 	 	  0.36 	 	 	 	  0.423 	 	 	 	 	  0.280 	 	 	 	  80 
1 	 	 	 	 	 	 20 	 	 	 	 1.28 	 	 	 	  0.57 	 	 	 	 1.74 	 	 	 	  0.41 	 	 	 	  0.565 	 	 	 	 	  0.324 	 	 	 	  140 
1 	 	 	 	 	 	 50 	 	 	 	 1.23 	 	 	 	  0.58 	 	 	 	 1.87 	 	 	 	  0.39 	 	 	 	  0.213 	 	 	 	 	  0.155 	 	 	 	  200 
1 	 	 	 	 	 	 100 	 	 	 	 1.45 	 	 	 	  0.47 	 	 	 	 1.90 	 	 	 	  0.35 	 	 	 	  0.355 	 	 	 	 	  0.290 	 	 	 	  50 
 Kernel length  	 	 kernels 	 	 min train loss 	 	 top train acc 	 	 min val loss 	 	 top val acc 	 	 top train kappa 	 	 top val kappa 	 	 epoch at top val kappa 
2 	 	 	 	 	 	 1 	 	 	 	 	 1.58 	 	 	 	  0.39 	 	 	 	 1.78 	 	 	 	  0.39 	 	 	 	  0.000 	 	 	 	 	  0.000 	 	 	 	  10 
2 	 	 	 	 	 	 2 	 	 	 	 	 1.57 	 	 	 	  0.44 	 	 	 	 1.80 	 	 	 	  0.37 	 	 	 	  0.000 	 	 	 	 	  0.000 	 	 	 	  130 
2 	 	 	 	 	 	 3 	 	 	 	 	 1.51 	 	 	 	  0.53 	 	 	 	 1.82 	 	 	 	  0.37 	 	 	 	  0.117 	 	 	 	 	  0.048 	 	 	 	  180 
2 	 	 	 	 	 	 5 	 	 	 	 	 1.46 	 	 	 	  0.40 	 	 	 	 1.83 	 	 	 	  0.37 	 	 	 	  0.259 	 	 	 	 	  0.213 	 	 	 	  80 
2 	 	 	 	 	 	 10 	 	 	 	 1.45 	 	 	 	  0.38 	 	 	 	 1.72 	 	 	 	  0.43 	 	 	 	  0.288 	 	 	 	 	  0.332 	 	 	 	  60 
2 	 	 	 	 	 	 20 	 	 	 	 1.36 	 	 	 	  0.46 	 	 	 	 1.81 	 	 	 	  0.41 	 	 	 	  0.082 	 	 	 	 	  0.045 	 	 	 	  170 
2 	 	 	 	 	 	 50 	 	 	 	 1.25 	 	 	 	  0.56 	 	 	 	 1.75 	 	 	 	  0.43 	 	 	 	  0.275 	 	 	 	 	  0.302 	 	 	 	  120 
2 	 	 	 	 	 	 100 	 	 	 	 1.34 	 	 	 	  0.57 	 	 	 	 1.83 	 	 	 	  0.41 	 	 	 	  0.170 	 	 	 	 	  0.294 	 	 	 	  130 
Kernel length  	 	 kernels 	 	 min train loss 	 	 top train acc 	 	 min val loss 	 	 top val acc 	 	 top train kappa 	 	 top val kappa 	 	 epoch at top val kappa 
3 	 	 	 	 	 	 1 	 	 	 	 	 1.51 	 	 	 	  0.52 	 	 	 	 1.73 	 	 	 	  0.41 	 	 	 	  0.427 	 	 	 	 	  0.000 	 	 	 	  10 
3 	 	 	 	 	 	 2 	 	 	 	 	 1.41 	 	 	 	  0.56 	 	 	 	 1.76 	 	 	 	  0.42 	 	 	 	  0.175 	 	 	 	 	  0.000 	 	 	 	  10 
3 	 	 	 	 	 	 3 	 	 	 	 	 1.41 	 	 	 	  0.39 	 	 	 	 1.87 	 	 	 	  0.36 	 	 	 	  0.000 	 	 	 	 	  0.000 	 	 	 	  10 
3 	 	 	 	 	 	 5 	 	 	 	 	 1.28 	 	 	 	  0.56 	 	 	 	 1.84 	 	 	 	  0.39 	 	 	 	  0.139 	 	 	 	 	  0.204 	 	 	 	  200 
3 	 	 	 	 	 	 10 	 	 	 	 1.39 	 	 	 	  0.38 	 	 	 	 1.68 	 	 	 	  0.39 	 	 	 	  0.255 	 	 	 	 	  0.255 	 	 	 	  70 
3 	 	 	 	 	 	 20 	 	  	 	 1.39 	 	 	 	  0.46 	 	 	 	 1.73 	 	 	 	  0.43 	 	 	 	  0.326 	 	 	 	 	  0.039 	 	 	 	  190 
3 	 	 	 	 	 	 50 	 	  	 	 1.29 	 	 	 	  0.57 	 	 	 	 1.75 	 	 	 	  0.39 	 	 	 	  0.255 	 	 	 	 	  0.165 	 	 	 	  200 
3 	 	 	 	 	 	 100 	 	  	 	 1.28 	 	 	 	  0.57 	 	 	 	 1.81 	 	 	 	  0.43 	 	 	 	  0.412 	 	 	 	 	  0.409 	 	 	 	  60 
Kernel length  	 	 kernels 	 	 min train loss 	 	 top train acc 	 	 min val loss 	 	 top val acc 	 	 top train kappa 	 	 top val kappa 	 	 epoch at top val kappa 
4 	 	 	 	 	 	 1 	 	 	 	 	 1.44 	 	 	 	  0.47 	 	 	 	 1.79 	 	 	 	  0.39 	 	 	 	  0.403 	 	 	 	 	  0.241 	 	 	 	  70 
4 	 	 	 	 	 	 2 	 	 	 	 	 1.34 	 	 	 	  0.55 	 	 	 	 1.78 	 	 	 	  0.44 	 	 	 	  0.085 	 	 	 	 	  0.007 	 	 	 	  140 
4 	 	 	 	 	 	 3 	 	 	 	 	 1.33 	 	 	 	  0.57 	 	 	 	 1.88 	 	 	 	  0.37 	 	 	 	  0.205 	 	 	 	 	  0.000 	 	 	 	  10 
4 	 	 	 	 	 	 5 	 	 	 	 	 1.35 	 	 	 	  0.56 	 	 	 	 1.87 	 	 	 	  0.42 	 	 	 	  0.357 	 	 	 	 	  0.373 	 	 	 	  50 
4 	 	 	 	 	 	 10 	 	 	 	 1.37 	 	 	 	  0.47 	 	 	 	 1.70 	 	 	 	  0.38 	 	 	 	  0.077 	 	 	 	 	  0.114 	 	 	 	  200 
4 	 	 	 	 	 	 20 	 	 	 	 1.24 	 	 	 	  0.58 	 	 	 	 1.88 	 	 	 	  0.37 	 	 	 	  0.183 	 	 	 	 	  0.144 	 	 	 	  40 
4 	 	 	 	 	 	 50 	 	 	 	 1.33 	 	 	 	  0.57 	 	 	 	 1.89 	 	 	 	  0.38 	 	 	 	  0.334 	 	 	 	 	  0.112 	 	 	 	  170 
4 	 	 	 	 	 	 100 	 	 	 	 1.33 	 	 	 	  0.56 	 	 	 	 1.76 	 	 	 	  0.42 	 	 	 	  0.535 	 	 	 	 	  0.183 	 	 	 	  180 
Kernel length  	 	 kernels 	 	 min train loss 	 	 top train acc 	 	 min val loss 	 	 top val acc 	 	 top train kappa 	 	 top val kappa 	 	 epoch at top val kappa 
