essays: 1246 	 	 epochs: 200 	 	  Dropout: no 	 	 k-fold: no 	 	 batch size: 128   dense: 128     layers: 3
Kernel length  	 	 kernels 	 	 min train loss 	 	 top train acc 	 	 min val loss 	 	 top val acc 	 	 top train kappa 	 	 top val kappa 	 	 epoch at top val kappa 
1 	 	 	 	 	 	 1 	 	 	 	 	 1.78 	 	 	 	  0.39 	 	 	 	 1.77 	 	 	 	  0.38 	 	 	 	  0.000 	 	 	 	 	  0.000 	 	 	 	  10 
1 	 	 	 	 	 	 2 	 	 	 	 	 1.15 	 	 	 	  0.57 	 	 	 	 1.72 	 	 	 	  0.39 	 	 	 	  0.622 	 	 	 	 	  0.246 	 	 	 	  120 
1 	 	 	 	 	 	 3 	 	 	 	 	 1.01 	 	 	 	  0.67 	 	 	 	 1.72 	 	 	 	  0.40 	 	 	 	  0.722 	 	 	 	 	  0.409 	 	 	 	  170 
1 	 	 	 	 	 	 5 	    	 	 	 0.16 	 	 	 	  0.96 	 	 	 	 1.74 	 	 	 	  0.42 	 	 	 	  0.829 	 	 	 	 	  0.255 	 	 	 	  140 
1 	 	 	 	 	 	 10 	 	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.69 	 	 	 	  0.39 	 	 	 	  1.000 	 	 	 	 	  0.352 	 	 	 	  110 
1 	 	 	 	 	 	 20 	 	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.79 	 	 	 	  0.37 	 	 	 	  1.000 	 	 	 	 	  0.378 	 	 	 	  190 
1 	 	 	 	 	 	 50 	 	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.60 	 	 	 	  0.45 	 	 	 	  1.000 	 	 	 	 	  0.479 	 	 	 	  180 
1 	 	 	 	 	 	 100 	 	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.63 	 	 	 	  0.43 	 	 	 	  1.000 	 	 	 	 	  0.474 	 	 	 	  150 
Kernel length  	 	 kernels 	 	 min train loss 	 	 top train acc 	 	 min val loss 	 	 top val acc 	 	 top train kappa 	 	 top val kappa 	 	 epoch at top val kappa 
2 	 	 	 	 	 	 1 	 	 	 	 	 0.58 	 	 	 	  0.85 	 	 	 	 1.73 	 	 	 	  0.38 	 	 	 	  0.734 	 	 	 	 	  0.211 	 	 	 	  200 
2 	 	 	 	 	 	 2 	 	 	 	 	 0.08 	 	 	 	  0.98 	 	 	 	 1.73 	 	 	 	  0.37 	 	 	 	  0.976 	 	 	 	 	  0.265 	 	 	 	  130 
2 	 	 	 	 	 	 3 	 	 	 	 	 0.01 	 	 	 	  1.00 	 	 	 	 1.81 	 	 	 	  0.30 	 	 	 	  1.000 	 	 	 	 	  0.140 	 	 	 	  80 
2 	 	 	 	 	 	 5 	 	 	 	 	 0.03 	 	 	 	  0.99 	 	 	 	 1.74 	 	 	 	  0.42 	 	 	 	  0.993 	 	 	 	 	  0.236 	 	 	 	  200 
2 	 	 	 	 	 	 10  	 	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.60 	 	 	 	  0.43 	 	 	 	  1.000 	 	 	 	 	  0.436 	 	 	 	  120 
2 	 	 	 	 	 	 20  	 	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.70 	 	 	 	  0.40 	 	 	 	  1.000 	 	 	 	 	  0.403 	 	 	 	  170 
2 	 	 	 	 	 	 50  	 	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.67 	 	 	 	  0.41 	 	 	 	  1.000 	 	 	 	 	  0.582 	 	 	 	  150 
2 	 	 	 	 	 	 100 	 	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.71 	 	 	 	  0.44 	 	 	 	  1.000 	 	 	 	 	  0.402 	 	 	 	  100 
Kernel length  	 	 kernels 	 	 min train loss 	 	 top train acc 	 	 min val loss 	 	 top val acc 	 	 top train kappa 	 	 top val kappa 	 	 epoch at top val kappa 
3 	 	 	 	 	 	 1 	 	 	 	 	 0.50 	 	 	 	  0.90 	 	 	 	 1.74 	 	 	 	  0.37 	 	 	 	  0.666 	 	 	 	 	  0.263 	 	 	 	  100 
3 	 	 	 	 	 	 2 	 	 	 	 	 0.04 	 	 	 	  0.99 	 	 	 	 1.72 	 	 	 	  0.38 	 	 	 	  0.998 	 	 	 	 	  0.288 	 	 	 	  70 
3 	 	 	 	 	 	 3 	 	 	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.76 	 	 	 	  0.37 	 	 	 	  1.000 	 	 	 	 	  0.263 	 	 	 	  20 
3 	 	 	 	 	 	 5 	 	 	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.75 	 	 	 	  0.36 	 	 	 	  1.000 	 	 	 	 	  0.302 	 	 	 	  40 
3 	 	 	 	 	 	 10 	  	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.81 	 	 	 	  0.37 	 	 	 	  1.000 	 	 	 	 	  0.372 	 	 	 	  140 
3 	 	 	 	 	 	 20 	  	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.62 	 	 	 	  0.39 	 	 	 	  1.000 	 	 	 	 	  0.529 	 	 	 	  180 
3 	 	 	 	 	 	 50 	  	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.64 	 	 	 	  0.42 	 	 	 	  1.000 	 	 	 	 	  0.588 	 	 	 	  120 
3 	 	 	 	 	 	 100 	  	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.69 	 	 	 	  0.41 	 	 	 	  1.000 	 	 	 	 	  0.546 	 	 	 	  80 
4 	 	 	 	 	 	 1 	 	 	 	 	 0.26 	 	 	 	  0.95 	 	 	 	 1.67 	 	 	 	  0.41 	 	 	 	  0.612 	 	 	 	 	  0.089 	 	 	 	  110 
4 	 	 	 	 	 	 2 	 	 	 	 	 0.01 	 	 	 	  1.00 	 	 	 	 1.81 	 	 	 	  0.33 	 	 	 	  0.999 	 	 	 	 	  0.298 	 	 	 	  50 
4 	 	 	 	 	 	 3 	 	 	 	 	 0.01 	 	 	 	  1.00 	 	 	 	 1.70 	 	 	 	  0.38 	 	 	 	  0.993 	 	 	 	 	  0.230 	 	 	 	  90 
4 	 	 	 	 	 	 5 	 	 	 	 	 0.01 	 	 	 	  1.00 	 	 	 	 1.72 	 	 	 	  0.39 	 	 	 	  0.995 	 	 	 	 	  0.364 	 	 	 	  190 
4 	 	 	 	 	 	 10 	 	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.76 	 	 	 	  0.37 	 	 	 	  1.000 	 	 	 	 	  0.399 	 	 	 	  120 
4 	 	 	 	 	 	 20 	 	 	 	 0.00 	 	 	 	  1.00 	 	 	 	 1.69 	 	 	 	  0.41 	 	 	 	  1.000 	 	 	 	 	  0.461 	 	 	 	  50 
